Unit ID,Firm Name,Owner Name,Location
N/A,Timber Traders,Rajiv Kumar,Timber Traders, Vill. Ghasipur,, Near R.K Kanda, Hariana Road, Vill. Ghasipur - 146001
N/A,Radha Timber Store,Sunita Rani,Near Sunder Petrol Pump,, Mour Road,, Rampura Phul, Rampura Phul - 151103
N/A,Khullar Trading Company,Bimal Rai Khullar,Village Chohal, Distt. Hoshiarpur, VILLAGE - 146001
N/A,SAT SAHIB TRADING COMPANY,RATTAN LAL,NEAR CHOUDHARY PALACE, BHADDI ROAD, BALACHAUR, CITY - 144521
N/A,SHREE AP WOOD CRAFT,AJAY PARASHAR,VILLAGE JOGEWAL, BHADDI ROAD, BALACHAUR, VILLAGE - 144521
N/A,SAVINDER SINGH,SAVINDER SINGH,426, NIVI PATI, KOT KHALSA, AMRITSAR - 143002
N/A,Ram Ditta Saw Mill,Ram Ditta,Bhangala, Tehsil Mukerian, Bhangala - 144306
N/A,Kabal singh and sons,kabal singh,Kot Khalsa, Near dera najar singh. Amritsar-1, Amritsar G.P.O Punjab, Amritsar - 143001
N/A,Lakhwinder Petti Store,Lakhwinder singh,Khasra No 497 , Sultanwind Road , Petti Store, Amritsar - 143001
N/A,Rajiv Textiles Industries,Rajiv Bhandari,khu kujari Wala, Near Ajay Palace, Dubarji Road, Amritsar - 143001
N/A,Tarlok & Sons ,Tarlok Singh ,Village Jugial , Tehsil & District Pathankot , Jugial - 145001
N/A,Gurdeep Singh Saw Mill,Gurdeep Singh,Village Ramtatwali, Ranjeet Garh, Sub Teh Gardhiwal, Hoshiarpur - 144206
N/A,Shami Vaneer,Sham Saroop,Janouri, Near Kang farm, Sub Teh Bhunga, Hoshiarpur - 144209
N/A,Hardev Saw Mill,Hardev Singh,Village Nangal Awana, Tehsil Mukerian, Nangal Awana - 144306
N/A,Ms Thakur Enterprises,Keshav  Singh ,Village Mutfarka P.O. Sujanpur , Near Mohan singh Da Kanda , Teh & District Pathankot , Mutfarka - 145024
N/A,TAMAN SAW MILLS,DARSHAN SINGH,VPO CHHANDRAN, TEHSIL LUDHIANA, CHHANDRAN - 141113
N/A,Dalbir Singh Saw Mill,Dalbir Singh ,Village Ranipur , Tehsil & District Pathankot , Ranipur  - 145023
N/A,SAVINDER SINGH,SAVINDER SINGH,426, NIVI PATI, KOT KHALSA, AMRITSAR - 143002
N/A,Ravinder Singh Saw Mill,Ravinder Singh ,Village Aner , Tehsil & District Pathankot , Aner - 145101
N/A,M.L Katha Udyog,Mohan Lal ,Village Alera HB No. 616, Tehsil Mukerian District Hoshiarpur , Alera - 144224
N/A,Aggarwal Saw Mills,MUNISH GOYAL,Peer Khana road, New Bharat Gas Serivce, Raman Mandi, Raman Mandi - 151301
N/A,MUSTAQ SAW MILL,MUSTAQ MOHAMMAD,BACK SIDE DASHMESH KANDA, NEAR BABA AUGAR, VPO. SAILA KHURD, TEHSIL GARHSHANKAR - 144529
N/A,KULDEEP SAW MILL,KULDEEP SINGH,VPO SAILA KHURD, SAILA KHURD, PENSRA ROAD, SAILA KHURD - 144529
N/A,RAHUL JASWAL SAW MILL,RAHUL JASWAL,VPO. SAILA KHURD, PAPER MILL ROAD, NEAR SINGH SABHA GURDWARA, VILLAGE SAILA KHURD - 144529
N/A,Sohal Saw Mill,Paramjit Singh ,village Jhita Kalan , PO:Bundala Rampura Road , Amritsar, Jhita Kalan  - 143413
N/A,M/s Mohan Saw Mill,Baljinder Singh,Patran Road, Village Retgarh, Samana Distt Patiala, Village Retgarh - 147101
N/A,DURGA INDUSTRIES,Vikas Singla,BATHINDA ROAD, JAITU, JAITU - 151202
N/A,Vikas Singla & Company,Vikas Singla,BATHINDA ROAD, JAITU, JAITU - 151202
N/A,Jaitu Wood Product,Vikas Singla,Bajakhanna Road , JAITU-151202, JAITU - 151202
N/A,V K Traders,Vikas Singla, Bathinda Road, JAITU, JAITU - 151202
N/A,Kalia Construction CO ,Vikas Kalia,Raghunath Nagar (Adha Khuli) , Near Dana Mandi , Shahpurkandi Road Pathankot , Shahpurkandi  - 145001
N/A,Billa Petti Store,Balwinder Singh,H No 62 Gali No 1 , Guru Nanak Nirankari colony, sultanwind road amritsar, Amritsar - 143001
N/A,Thakur Traders,Satvir Singh,V.P.O. Adamwal, Chint purni road, hoshiarpur, HOSHIARPUR - 146001
N/A,Daljit Singh & Sons,Daljit Singh ,Chabhal Road P.O. Fatehpur , Opp Sethi Dharamkanda , Amritser , Amritser  - 143001
N/A,Harpreet Singh & Co ,Narinder Kumar Malhotra,Focal Point Batala , Plot No. 133, Batala , Batala  - 143001
N/A,M/S Bhupinderpal Singh Saw Mill,Bhupinderpal Singh,V.P.O Garhdiwala, Dasuya road, hoshiarpur, V.P.O.Garhdiwala - 144207
N/A,Sharma Saw Mill,Rakesh Sharma ,Bradi wala urban P.O Fatahpur, District Amritser , Bradi wala urban  - 143001
N/A,Mohan Singh,Mohan Singh,Village Wan, Wan Bahre Di, Tehsil Tarn taran, Tarn Taran - 143401
N/A,ARJUN TIMBER,ADITI MAHAJAN,CHABAL ROAD,, Opp FCI GODOWN, AMRITSAR, AMRITSAR - 143001
N/A,Krishan Chand Saw Mill,Krishan Chand,Village Dukhniali Tikka Khas, Tehsil Dhar Kalan, Distt Pathankot, Bar Sudal  - 145001
N/A,Krishan Chand Saw Mill,Krishan Chand,Village  Dukhniali, Tehsil Dhar Kalan, Distt Pathankot, Pathankot - 145022
N/A,Baldev Raj Small Scal Industry ,Badev Raj,Village Lehroon , Tikka Nagrota , Tehsil Dhar Kalan District Pathankot, Lehroon  - 145022
N/A,Baggo Saw mill, Fatehpur Bunga,BAGGO SAW MILL,Vill - Fatehpur Bunga, PO- Gardley, Teh- Anandpur Sahib, Village - fatehpur Bunga - 140114
N/A,AVTAR WORKSHOP,AVTAR SINGH,LIDHAR, LIDHAR, TEHSIL BABA BAKALA SAHIB, LIDHAR - 143112
N/A,M/s Sheetal Saw Mill,Harish Garg,Road Kacha pha Near Village Jagatpura, Near Rubber Pipe Factory Sunam, Distt. Sangrur,  Village Jagatpura,Sunam - 148028
N/A,M/S Rohit Gupta Saw mill,Rohit Gupta ,Near Dana Mandi, Kot Kapura Road, Jaitu, Faridkot, Town Jaitu - 151202
N/A,KEWAL MASIH,KEWAL MASIH,CHEEMA BATH, TEHSIL BABA BAKALA SAHIB, CHEEMA BATH, TEHSIL BABA BAKALA SAHIB - 143112
N/A,TARSEM SINGH,TARSEM SINGH,BHALOJALA, TEHSIL KHADOOR SAHIB, BHALOJALA, VILLAGE - 143201
N/A,GIANSINGH,GIAN SINGH,GHAGGE, TEHSIL KHADOOR SAHIB, KHOJKIPUR, VILLAGE - 143112
N/A,NARINDER SINGH,NARINDER SINGH,LIDHAR, LIDHAR, TEHSIL BABA BAKALA , VILLAGE - 143112
N/A,MANJITSINGH,MANJIT SINGH,LIDHAR, LIDHAR, TEHSIL BABA BAKALA , VILLAGE - 143112
N/A,Rohit Saw Mill,Kala Ram,Village Panjod P O Sujanpur , Tehsil & District Pathankot , Panjod - 145001
N/A,HARDEEP SINGH,HARDEEP SINGH,KALEKE, KALEKE, TEHSIL BABA BAKALA , VILLAGE - 143111
N/A,SUKHBIR SINGH,SUKHBIR SINGH,CHABHAL ROAD, NEAR SATNAM DHARAM KANDA, AMRITSAR, AMRITSAR - 143001
N/A,DURGA INDUSTRIES,Vikas Singla,BATHINDA ROAD, JAITU-151202, JAITU - 151202
N/A,Shri Madan Dham Manakpur,Piyare Lal,Village Manakpur, P. O. Manakpur, Tehsil Nangal Dam, Manakpur - 140125
N/A,Jaitu Wood Product,Vikas Singla,Bajakhanna Road , JAITU-151202, JAITU - 151202
N/A,Harpreet Singh & Co ,Narinder Kumar Malhotra,Focal Point Batala , Plot No. 133, Gurdaspur , Batala - 143505
N/A,MOHINDRA SAW MILLS,BALWANT SINGH,VPO HARIANA, SHAM CHAURASI ROAD , HARIANA, HARIANA - 144208
N/A,V K Traders,Vikas Singla,Bathinda Road, Jaitu, Jaitu-151202 - 151202
N/A,Vikas Singla &Company,Vikas Singla,Bathinda Road, Jaitu, Jaitu-151202 - 151202
N/A,Vishal Singla Saw Mill,Vishal Singla,Baja Road, Near Mehant Street, Jaitu Mandi, Jaitu - 151202
N/A,Vikas Singla  and Company,Vikas Singla,Bathinda Road, Jaitu, Jaitu-151202 - 151202
N/A,Ranjodh Singh,Ranjodh Singh,VPO Bhaini Rajputan, Bhaini Rajputan, Amritsar - 143108
N/A,Krish Timber Store,Ashwani Kumar,Village Rathrian, Near Dera Radha Swami, Malout, Rathrian/Malout - 152107
N/A,M/S BALRAJ SINGH,BALRAJ SINGH,CHOGAWAN SADHPUR, TEHSIL AMRITSAR, P.O. TARSIKA, VILLAGE - 143116
N/A,m/s charan singh,CHARAN SINGH,bhoewal, TEHSIL BABA BAKALA SAHIB, chananke, VILLAGE - 143114
N/A,Ranjit Singh & Son's Trading Co,Ranjit Singh ,VPO Gho , Teh & District Pathankot, Gho  - 145023
N/A,DALBIR ENGG. WORKS,GURDEV SINGH,#251, INDUSTRIAL AREA, GOINDWAL SAHIB, TARN TARAN - 143422
N/A,Gurdev Singh Sawmill,Gurdev Singh,V.P.O Sherpur Kalan, Tehsil Jagraon, Distt. Ludhiana, V.P.O Sherpur Kalan, Tehsil Jagraon, Distt. Ludhiana, V.P.O Sherpur Kalan, Tehsil Jagraon, Distt. Ludhiana, Unit Village - 142036
N/A,Mahadev Shakti,Akhleshwar,Village Danewala, Malout, Malout, Danewala/Malout - 152107
N/A,Bhagwant Singh Saw Mills,Jagmohan Singh,Opp Bedi PetrolPump, Chabal Road,, Near Chief Khalsa Diwan Nursing College, , Amritsar - 143001
N/A,Bhagwant Singh Saw Mills,Jagmohan Singh,Opp Bedi PetrolPump, Chabal Road,, Near Chief Khalsa Diwan Nursing College, , Amritsar - 143001
N/A,Krishna Udyog,Vivek Goyal,Backside Sant Nirankari Bhawan , Kotkapura Road, Jaitu - 151202
N/A,M/s Jaspal Singh Sawmill,Jaspal Singh,Village Salempura Tehsil Jagraon Distt Ludhiana, Village Salempura, Tehsil Jagraon, Distt. Ludhiana, Village Salempura, Tehsil Jagraon, Distt. Ludhiana, Village Salempura, Tehsil Jagraon, Distt. Ludhiana - 142033
N/A,Om Packers,Raj Kumar,sahnewal road Ramgarh Ludhiana, Sahnewal Road Ramgarh Ludhiana, Ramgarh Ludhiana - 141120
N/A,Hariom Traders,Keshav Maggo,Sahnewal Road Ramgarh, Sahnewal Road Ramgarh, Ludhiana - 141120
N/A,sarabjit ,sarabjit,Loharka Khurd , Loharka Kalan, Village - 143101
N/A,M/S Rupinder Singh,Rupinder Singh,Arjan Manga, Tehsil Baba Bakala, Amritsar - 143114
N/A,HARBANS SAW MILLS,HARBANS SINGH,NEAR BATHINDA-MANSA MAIN ROAD, RAMNAGAR, VILLAGE RAMNAGAR - 151509
N/A,GURU NANAK TRADING COMPANY,SAWINDER SINGH,VILLAGE BACHIWIND, TEHSIL  AJNALA, , AMRITSAR - 143108
N/A,S S Traders,Satnam Singh,Village Channi Muyal , Tehsil & District Pathankot , Channi Muyal  - 145029
N/A,Balwinder Singh ,Balwinder Singh,Village Lopoke , Amritsar, Lopoke - 143110
N/A,Balwinder Singh ,Balwinder Singh,Village Lopoke, Amritsar, Village Lopoke - 143110
N/A,GURPEJ SINGH S/O DARSHAN SINGH ,GURPEJ SINGH,VILLAGE KURALIAN , MAKOWAL,, AMRITSAR, VILLAGE KURALIAN - 143103
N/A,Balwinder Singh ,Balwinder Singh,Village Lopoke, Amritsar, Village Lopoke - 143110
N/A,Balwinder Singh ,Balwinder Singh,Village Lopoke, Amritsar, Village Lopoke - 143110
N/A,Manohar Saw Mill Village Jajjar Distt. Rupnagar,Manohar Lal,Village Jajjar, P. O. Ganguwal, Tehsil Anandpur Sahib, Jajjar - 140123
N/A,Madhu Industry ,Ramesh Kumar ,Focal Point Batala , Batala , Batala , Batala - 143505
N/A,SHREE  GURU NANAK DEV SAW MILL,JASPREET KAUR,MAUR RAMPURA ROAD, OPPOSITE MALWA RESORT, DIKH - 151103
N/A,BABA DEEP SINGH WOOD WORKERS,SATNAM SINGH,VILLAGE DHIREKOT , TEHSIL AND DISTRICT  AMRITSAR, AMRITSAR - 143115
N/A,GURPREET SINGH S/O MAKHAN  SINGH,GURPREET SINGH,RAMDAS,VILLAGE RAMDAS, TEHSIL/SUBTEHSIL, AJNALA,DISTRICT AMRITSAR, AMRITSAR - 143603
N/A,Bhatia Sons,RAHUL BHATIA,1616/25, OLD Lakkar Mandi,, Sultanwind Gate, Amritsar - 143001
N/A,JAGJIT SINGH  S/O NARINDER SINGH,JAGJIT SINGH,VILLAGE CHAWINDA DEVI TEHSIL MAJITHA , DISTRICT AMRITSAR, AMRITSAR - 143504
N/A,SURINDERPAL SINGH S/O BALWINDER SINGH,SURINDERPAL SINGH ,VILLAGE CHAWINDA DEVI TEHSIL MAJITHA ,  KATHU NANGAL ROAD DISTRICT AMRITSAR, AMRITSAR - 143504
N/A, Nikka Surinder Saw Mill,Surinder Kumar,Village Mutfarka , P.O. Sujanpur , Teh & District Pathankot , Mutfarka - 145023
N/A,Harbans Singh,Harbans Singh,Village Mehta, Tehsil Baba Bakala, Amritsar, Village - 143114
N/A,Gurnam Singh,Gurnam Singh,Ward no.1,  Near Sakki Wala pul, Ajnala, Village - 143102
N/A,J .S .ARA,JHIRMAL SINGH,VILLAGE TALWANDI KHUMAN,, POST OFFICE PAKHAR PURA , AMRITSAR, AMRITSAR - 143502
N/A,BABA ATMA  RAM FURNITURE HOUSE,HARBHAJAN SINGH,VILLAGE MAKHANWINDI  , DISTRICT AMRITSAR, AMRITSAR - 143501
N/A,Bhola Singh & Brothers New Vishkarma Saw Mill,Bhola Singh,Gehri Devi Nagar, Bathinda, Jassi Pauwali, Gehri Devi Nagar, Jassi Pauwali - 151001
N/A,Jagtar Singh,Jagtar Singh ,Village Gehri Mandi , Tehsil Amritsat, Village - 143149
N/A,Hakam Singh Saw Mills & Sons,Randhir Singh,Factory Road,, Near Petrol Pump, Mour, Mour - 151509
N/A,Bhullar Saw Mill,Gurjit Singh,Village Nandgarh, Nandgarh, Nandgarh - 151401
N/A,Nirmal Singh & Sons,Nirmal Singh,VPO, Barwali khurd, Tehsil Khamanon, Distt. Fatehgarh Sahib, Barwali Khurd - 141411
N/A,Gurmail Singh Saw Mill,Gurmail Singh,Village Bangi Deepa, Bangi Deepa, Bangi Deepa, Bangi Deepa - 151301
N/A,LAXMI SAW MILL,VIJAY LAXMI,CHABHAL ROAD, NEAR SETHI DHARAM KANDA, AMRITSAR, AMRITSAR - 143001
N/A,Manmohan Enterprises,MANMOHAN SINGH,G.T. ROAD SARNA, TEHSIL PATHANKOT, DISTT. PATHANKOT, PATHANKOT - 145025
N/A,Manmohan Enterprises,MANMOHAN SINGH,G.T. ROAD SARNA, TEHSIL PATHANKOT, DISTT. PATHANKOT, PATHANKOT - 145025
N/A,Nirmal Singh & Sons,Nirmal Singh,VPO, Barwali khurd, Tehsil Khamanon, Distt. Fatehgarh Sahib, Barwali Khurd - 141411
N/A,M/s Dharminder & Sons Trading Co.,Dharminder Singh,Near Gurdwara, Muradpur Bye Pass, Tarn Taran, Tarn Taran - 143401
N/A,Jiwan Saw Mill,Jiwan Singh ,Village Siar, Tehsil Payal, Distt  Ludhiana, Village Siar, Tehsil Payal, Distt  Ludhiana, Village Siar, Tehsil Payal, Distt  Ludhiana, Village Siar, Tehsil Payal, Distt  Ludhiana - 141117
N/A,Garewal Timber Traders,Avtar Singh,Village Thakarwal Distt Ludhiana, Village Thakarwal Distt Ludhiana, Village Thakarwal Distt Ludhiana, Thakarwal - 142022
N/A,jaswinder singh,JASWINDER SINGH,1647/25, Old Lakkar Mandi, Sultanwind Gate, Amritsar - 143001
N/A,HARDYAL TIMBER & IRON STORE,LAKHBIR SINGH,KATHUNANGAL ,ROAD , CHAWINDA  DEVI AMRITSAR, AMRITSAR - 143504
N/A,Grewal Timber Traders,Avtar Singh,Village Thakarwal, Near Lalton Kalan, Ludhiana West, Village Thakarwal - 142022
N/A,Tarlok Singh,Tarlok Singh,Lopoke , Tehsil Lopoke, Lopoke - 143110
N/A,G S TRADING COMPANY,GURWINDER SINGH,VILLAGE PANDORI, TEHSIL TARN TARAN, VILLAGE PANDORI - 143401
N/A,Kabir Timbar Store,Karan Madaan,VPO Danewala, Kingra Road, Malout, Danewala/Malout - 152107
N/A,NEW  BUMRAH PETTI  STORE,HARWINDER SINGH,40,SULTANWIND ROAD, GURU NANAK  NIRANKARI, COLOLY, , AMRITSAR-1, AMRITSAR - 143001
N/A,Setia Timber Traders,Raman Setia,Village Rathrian, Teh Malout, Malout, Village Rathrian/Malout - 152107
N/A,Satbir Singh S/o Piyara Singh,Satbir Singh ,H. No. 51 East Mohan Nagar , Amritsar, City Mohan Nagar  - 143001
N/A,M/s Krishan Kumar S/o Ram Parshad ,Krishan Kumar ,Kot mit Singh , Opo. Sant petroleum , Nazdeek Railway Fatak , Amritsar - 143001
N/A,RAGHAV TIMBERS,SAAKSHI NIRWANIA,NEAR DAV PUBLIC SCHOOL, MUBARAKPUR ROAD, DERABASSI, DERABASSI - 140507
N/A,M/s Avtar Singh S/o Karnail Singh,Avtar Singh,Near India Gate Patti Bhani, , Gurnanpura Amritsar, Gumanpura - 143105
N/A,RAGHAV TIMBERS,SAAKSHI NIRWANIA,NEAR DAV PUBLIC SCHOOL, MUBARAKPUR ROAD, DERABASSI, DERABASSI - 140507
N/A,M/s Arshdeep Singh S/o Nirmal Singh ,Arshdeep Singh ,Village Mannan , Tehsil & Disst. Tarn Taran, Viilage Mannan - 143301
N/A,Mehakpreet Furniture House,Bhupinder singh,Village-Khiala Khurd, Tehsil-Lopoke, Distt. Amritsar, Village-Khiala Khurd - 143109
N/A,Farooqi Saw Mill & Timber Merchant,Mohammad Aasif Farooqi,Village Ranwan, Khanna Road , Malerkotla, Malerkotla - 148023
N/A,M/s MohD Sharif & Sons,Mohammed Arif,Village Ranwan, Khanna Road , Malerkotla, Malerkotla - 148023
N/A,RAGHAV TIMBERS,SAAKSHI NIRWANIA,NEAR DAV PUBLIC SCHOOL, MUBARAKPUR ROAD, DERABASSI, ZIRAKPUR - 140507
N/A,M/s Sushil Kumar Khanna S/o Satpal Khanna ,Sushil Kumar Khanna ,Baba Deep Singh Colony , Village Mulle Chak , Teh Amritsar , Mulle Chak  - 143009
N/A,M/s Jarnail Singh S/o Kahan Singh ,Jarnail Singh ,H. No. 4207 Gali No. 1 Kot Kanhya Lal, Sultanwind Road , Amritsar - 143001
N/A,Harjit Timber Works,Mangal Singh,Kohali, Tehsil Lopoke, Kohali - 143109
N/A,RANJIT SINGH TRADING COMPANY,RANJIT SINGH,VILLAGE BARWALA, , TEHSIL PATTI  TARN TARAN, VILLAGE  BARWALA - 143406
N/A,Harcharan Singh & Brothers,Harcharan Singh,Village Balion, po. sampala, Teh. Samrala, Distt. Ludhiana, Balion - 141114
N/A,Rakesh Saw work ,Rakesh Kumar ,17 Guru nanak nager,, Back side jain Mandir , Sultanwind Road Amritsar, Amritsar - 143001
N/A,HARPREET SAW MILL  AND WOOD WORKS,HARPREET SINGH,NH 54  BUS STAND, SARHALI KALAN,, OPPOSITE PUNJAB NATIONAL BANK  TEH  AND DISTT TARN TARAN , TARN TARAN - 143410
N/A,BIDI  CHAND  WOOD WORKS,RAJINDER SINGH S/O PRITAM SINGH,TARN TARAN , ROAD , VILLAGE  DIALPUR, , TEHSIL .PATTI , TARN TARAN, TARN TARAN - 143304
N/A,M/s Tarsem Singh S/o Bachan Singh ,Tarsem Singh ,Lahorimal, Gharinda , Amritsar, Gharinda  - 143107
N/A,LAKHWINDER PAL S/O  KISHORI LAL,LAKHWINDER PAL,ABADI GURU  NAGAR VERKA , TEHSIL AND DISTRICT  AMRITSAR, AMRITSAR - 143501
N/A,Wadhwa Timber Store,Sandeep Kumar Wadhwa,R/O Street No-8, , Sundar Nagri, Second Chownk,  Tehsil Abohar, Sundar Nagri Abohar - 152116
N/A,Surjit Singh,Surjit Singh,Abadi Guru Nanak Nagar, Verka , Near Police Station,Verka, Verka - 143501
N/A,BABA DEEP SINGH JI TRADING COMPANY,SALWINDER SINGH,VILLAGE  BHANGALA  ,  TEHSIL PATTI , DISTT.TARN TARAN,  , VILLAGE  BHANGALA  - 143416
N/A,Ram Singh,Ram Singh,Baba Farid Nagar, Kale Ghanupur, Chheharta, 143105 - 143105
N/A,Gursharan Saw Mills,HARINDER SINGH,VPO Jhawan, PO Budhi Pind, Tanda Urmar, Jhawan - 144212
N/A,JIT SINGH SAW MILLS,JEET SINGH,VILLAGE SUKHERA BODLA, JALALABAD, JALALABAD, JALALABAD - 152024
N/A,M/s Suman Traders,Mohan Lal Suman,Village Rattewal, Tehsil Balachaur, Distt. S.B.S. Nagar, Village Rattewal, Tehsil Balachaur, Distt. S.B.S. Nagar, Village Rattewal, Tehsil Balachaur, Distt. S.B.S. Nagar, Village Rattewal, Tehsil Balachaur, Distt. S.B.S. Nagar - 144522
N/A,Satpal Saw Mill,Satpal Singh,Village Randhawa, PO -Panwan, Tehsil Dasuya, Randhawa/ Dasuya - 144205
N/A,Preet Furniture House,Gurpreet Singh,Brahmpur, Tarn Taran, Brahmpur - 143409
N/A,M F,Santokh singh,Village madanheri ,cholta khurd Mohali sas NAGAR , Village madanheri ,cholta khurd Mohali sas NAGAR , Village madanheri - 140301
N/A,Krishna Saw mill,Durga Dass,Vill-Jugial , Tehsil & District Pathankot , Jugial - 145029
N/A,KARANDEEP SINGH S/O SUKHWINDER SINGH,KARANDEEP SINGH,VILLAGE CHEEMA KHURD, , TEHSIL PATTI .  DISTRICT  TARN TARAN, CHEEMA KHURD - 143419
N/A,BRAR INDUSTRIES,GURBHEJ SINGH,M/s BRAR INDUSTRIES, KHATONI NO. 1482, KHAWET NO 944/897, DODE WALA - 152117
N/A,M/s Khalsa Wood Works ,Sukhjinder Singh ,Abdal , Tehsil & Disst. Amritsar, Abdal - 143502
N/A,GURPREET SINGH S/O TEK SINGH,GURPREET SINGH,VILLAGE  CHUSLEWARH,  TEHSIL  PATTI, DISTRICT TARN TARAN,  CHUSLEWARH/TARN TARAN - 143304
N/A,Jindal Organic Industries,Sanjana Jindal,Near Indian Oil Petrol Pump, Village Mainpur Badali, Khuwaspura, Village Mainpur Badali - 140001
N/A,Sehmi furniture house,Sukhdev singh,Sukhdev singh s/o basant singh , H1/5 ramdass Avenue bye pass chownk, Batala road verka amritsar , Verka - 143501
N/A,Gurpreet Saw Mill,Gurpreet Singh,V.P.O Mullanpur, Garib Dass, Mullanpur Garib Dass - 140901
N/A,Avtar Arra Machine,Avtar Singh,Vill-Ram Tirath Kaler., Khase wala Mod., Ram Tirath Kaler - 143107
N/A,Pardeep Fire Wood,Pardeep Kumar,House No-8, Abadi Guru Nanak nagar, Verka, Verka - 143501
N/A,MANOHAR SAW MILL,MANOHAR SINGH,VPO, SATNAUR, TEHSIL GARHSHANKAR, SATNAUR - 144528
N/A,Kanoth Saw Mills ,Balkar Singh ,kalas kalan, Teh, koom Kalan, Distt. Ludhiana. , kalas kalan, Teh, koom Kalan, Distt. Ludhiana. , kalas kalan, Teh, koom Kalan, Distt. Ludhiana. , kalas kalan, Teh, koom Kalan, Distt. Ludhiana.  - 141126
N/A,Shri Guru Nanak Dev Saw Mill,Kuldeep Singh,Asmanpur, P. O. Nurpur Bedi, Tehsil Anandpur Sahib, Asmanpur - 140117
